"System_ID","Year","Total_hospital_beds","Admissions","Inpatient_Days","Surgical_operations_inpatient","Emergency_room_visits","Other_outpatient_visits_non_ER","Surgical_operations_outpatient","Total_outpatient_visits","Total_Medicaid_days","Total_Medicaid_discharges","Total_Medicare_days","Total_Medicare_discharges","Physicians_and_dentists_FT","Total_personnel_FT","Total_Physicians_NE","Total_Physicians_TE","Total_Physicians_TG","Total_Physicians_TC","Total_Physicians_TP","All_Physicians","Hospitals"
"5990876",2012,16,244,3301,0,0,0,0,0,973,64,826,54,1,45,0,0,0,0,0,1,1
"5990876",2013,16,281,3500,0,0,0,0,0,967,72,841,60,1,39,0,0,0,0,0,1,1
"5990876",2014,32,764,8294,0,0,5015,4,5015,1269,130,4979,95,2,74,0,0,0,0,0,2,2
"5990876",2015,52,972,11940,0,0,3769,5,3769,1412,136,8522,606,1,128,0,0,0,0,0,1,3
"5990876",2016,52,1038,12280,0,0,4231,3,4231,2687,232,6029,424,1,111,0,0,0,0,0,1,4
"5990877",2012,78,2161,21393,5,0,24400,33,24400,6308,571,5352,482,4,173,0,0,0,0,0,4,2
"5990877",2013,126,2346,20165,0,10,4,0,14,8108,247,3232,335,6,311,0,4,0,1,25,36,2
"5990877",2014,126,2908,29117,0,0,0,0,0,13185,1233,4638,372,5,290,0,0,0,0,0,5,2
"5990877",2015,126,2819,29256,0,0,0,0,0,13566,1284,5893,508,6,536,0,0,0,0,0,6,2
"5990877",2016,126,2388,23982,0,0,0,0,0,10538,1013,4966,418,5,297,0,20,1,0,21,47,2
"5990879",2012,15,208,412,0,17441,189,0,17630,2,1,91,42,0,43,1,0,110,15,126,252,2
"5990879",2013,23,174,562,0,17375,221,0,17596,0,0,127,34,0,63,1,0,123,12,136,272,2
"5990879",2014,39,264,707,0,36776,0,0,36776,4,3,188,73,8,118,0,6,72,0,78,164,2
"5990879",2015,89,1032,2189,0,123214,0,0,123214,55,38,770,382,2,299,0,0,0,0,260,262,4
"5990879",2016,121,1172,2509,0,157480,0,0,157480,89,42,904,425,2,477,0,0,0,0,576,578,6
"5990881",2012,623,22023,131805,6320,46070,596056,20020,642126,24617,3681,73140,10846,0,3439,0,0,248,0,956,1204,3
"5990881",2013,612,22727,130934,6398,51389,670622,19963,722011,23909,4047,70179,10943,0,3591,0,269,0,0,1078,1347,3
"5990881",2014,610,22819,130139,6261,55838,641007,18103,696845,23338,3833,70690,11439,47,3476,1213,377,40,35,2503,4215,3
"5990881",2015,560,23520,136669,6804,60769,697975,18546,758744,21809,3723,75529,11702,73,3503,1112,1208,2,35,2357,4787,3
"5990882",2012,322,13936,63837,7363,66610,228220,22495,294830,9126,1993,31539,7273,4,1723,198,0,50,16,264,532,3
"5990882",2013,322,13767,64502,6808,66180,229656,21740,295836,9081,1906,33006,7499,4,1782,210,0,63,20,293,590,3
"5990882",2014,301,13950,61670,6728,65798,225572,26878,291370,8509,1988,31165,7337,6,1769,212,0,64,29,305,616,3
"5990882",2015,301,14322,62221,6231,68104,212632,25049,280736,8644,1982,32366,7608,4,2024,291,0,52,27,370,744,3
"5990882",2016,299,13217,59495,6505,71849,243868,27866,315717,11019,2240,31904,7399,6,1807,163,2,145,71,381,768,3
"5990887",2012,445,28866,106793,8722,102466,493053,6330,595519,26258,5773,58512,14086,50,3122,451,164,269,20,904,1858,2
"5990887",2013,463,26669,101169,7217,100406,585534,6702,685940,22550,5375,47895,10864,35,2854,413,176,202,691,1492,3009,2
"5990887",2014,463,26531,100073,7087,94561,731709,7125,826270,23703,5522,44198,10055,81,2149,598,166,94,607,1465,3011,2
"5990887",2015,463,26933,103596,6258,98566,229451,8612,328017,24222,5980,47138,11323,87,1533,342,204,147,643,1336,2759,2
"5990887",2016,463,27462,109303,5224,75216,301573,9507,376789,27936,6513,46621,10130,29,1581,0,0,53,606,659,1347,2
"5990891",2012,647,37794,166086,10536,118270,1282523,21588,1400793,23760,4869,106474,21502,457,5496,665,627,0,40,1292,3081,2
"5990891",2013,745,39997,192141,10560,118781,973227,25701,1092008,22702,4296,110225,21274,459,5747,645,729,37,0,1381,3251,2
"5990891",2014,863,51041,238323,14951,168376,1490411,28994,1658787,33209,6571,133587,24775,505,7315,598,677,77,55,1407,3319,3
"5990891",2015,862,53127,246774,13943,144577,1488031,27856,1632608,33998,6959,135692,27257,489,7245,680,621,140,0,1441,3371,3
"5990891",2016,862,53450,249457,13200,147443,1284815,26263,1432258,36218,7648,138192,28137,465,7417,733,679,138,12,1562,3589,3
"5990892",2012,290,12222,65529,3599,74094,219826,11886,293920,28850,4306,8350,1720,208,2433,0,0,0,0,0,208,2
"5990892",2013,295,10770,52986,3773,66505,131681,13418,198186,28525,5011,37,25,28,1947,0,94,0,0,94,216,2
"5990892",2014,260,11114,58530,4151,77676,118369,13935,196045,32123,5411,392,56,25,2018,120,441,36,0,597,1219,2
"5990892",2015,258,11696,58706,4140,86165,168645,15229,254810,37682,5755,277,42,29,2312,107,604,10,45,766,1561,2
"5990892",2016,280,11967,65571,4165,95298,207667,15783,302965,41398,6354,406,44,12,2579,85,695,10,44,834,1680,2
"5990894",2012,48,611,9013,0,0,3814,0,3814,0,0,8168,505,6,172,0,0,0,6,6,18,2
"5990894",2013,49,1177,13824,1,0,11383,7,11383,1803,173,7327,527,4,145,0,0,0,3,3,10,2
"5990894",2014,48,695,10923,0,0,10590,0,10590,0,1,8949,557,0,94,0,0,0,7,7,14,2
"5990895",2012,329,14468,53617,3164,83193,441530,2748,524723,9896,3166,31843,7612,153,2273,36,145,120,9,310,773,3
"5990895",2013,329,12400,45177,2922,81154,454094,9379,535248,6924,1848,26205,6685,174,2253,33,163,119,8,323,820,3
"5990895",2014,255,11490,46611,2875,89088,676314,8639,765402,9172,2579,27667,6097,180,2277,38,152,138,17,345,870,3
"5990895",2015,263,11197,44724,3035,73747,666358,8784,740105,8367,2585,26820,5831,140,2226,51,148,284,18,501,1142,3
"5990895",2016,239,9694,37246,2253,70460,647742,7340,718202,7500,2203,21262,4905,136,2132,53,445,85,2,585,1306,3
"5990896",2012,515,22067,112563,7252,90769,204510,9915,295279,18847,3476,63101,11620,0,2386,323,76,134,3,536,1072,2
"5990896",2013,519,22242,112033,6797,90558,368733,9384,459291,17360,3267,65018,11891,0,2251,33,0,62,3,636,734,2
"5990896",2014,502,23193,116588,6852,89177,386938,9672,476115,18879,3421,69216,12610,0,2349,34,0,62,0,510,606,2
"5990896",2015,501,24117,114643,7282,97404,406628,9732,504032,16757,3382,66523,13024,0,2431,0,26,34,23,513,596,2
"5990896",2016,651,29707,148267,8559,162192,572644,12216,734836,23755,4589,84421,15865,9,3290,0,0,0,0,481,490,3
"5990897",2012,57,943,2281,1130,1036,6869,5665,7905,25,11,424,126,1,225,467,0,61,0,528,1057,3
"5990897",2013,121,4582,7162,2568,4366,12940,10951,17305,26,9,533,127,1,653,771,0,78,1,895,1746,6
"5990897",2014,146,2060,4650,2024,4828,9627,9344,14455,0,0,0,0,1,508,809,0,322,2,1279,2413,8
"5990897",2015,25,465,1392,263,192,845,1353,1037,245,88,778,247,2,68,0,0,0,0,0,2,1
"5990899",2012,64,1333,17951,0,0,9,0,9,1048,166,12656,772,0,164,62,0,0,0,62,124,1
"5990899",2013,64,1362,17330,0,0,1,0,1,588,58,11547,936,0,137,52,0,0,0,52,104,1
"5990899",2014,67,1392,17857,0,0,7,0,7,643,63,11216,1057,0,159,53,0,0,0,53,106,1
"5990900",2012,116,4439,12331,3624,10939,71483,25506,82422,0,0,3031,1039,0,608,376,0,73,85,651,1185,4
"5990900",2013,114,4666,10652,4212,9924,72376,27562,82300,17,10,3195,1159,0,554,448,0,115,101,664,1328,4
"5990900",2014,114,4451,10509,4140,7961,80341,26222,88302,1,1,3523,1195,0,603,495,0,154,98,747,1494,4
"5990900",2015,52,2724,5659,2481,4684,96111,24891,100795,63,22,1946,836,0,439,419,0,118,134,671,1342,3
"5990900",2016,32,1248,2908,1226,1924,64117,21573,66041,59,25,1706,709,0,359,81,0,138,131,350,700,2
"5990901",2012,1979,89186,520128,26958,240006,1958225,54124,2198231,129093,15926,208378,37754,82,13594,2159,133,334,8,2634,5350,5
